batch_id,batch_order,queue_order,target_id,name,domain,mode,submit_url,current_pricing,suggested_pricing,suggested_review_decision,suggestion_confidence,review_decision,reviewed_pricing,reviewer,reviewed_at,review_notes,evidence_url,evidence_matched,http_status,fetch_ok,payment_signal,free_signal,freemium_signal,captcha_signal,cloudflare_signal,suggestion_basis,automation_policy
auth-triage-paid,1,5,appalist-com,https://appalist.com/,appalist.com,assisted,https://appalist.com/,unknown,paid,mark_paid,high,,,,,,https://appalist.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,2,10,launchscroll-com,https://launchscroll.com/,launchscroll.com,assisted,https://launchscroll.com/,unknown,paid,mark_paid,high,,,,,,https://launchscroll.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,3,11,mylaunchstash-com,https://mylaunchstash.com/,mylaunchstash.com,assisted,https://mylaunchstash.com/,unknown,paid,mark_paid,high,,,,,,https://mylaunchstash.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,4,13,poweruptools-com,https://poweruptools.com,poweruptools.com,assisted,https://poweruptools.com/,unknown,paid,mark_paid,high,,,,,,https://poweruptools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,5,14,productlistdir-com,https://productlistdir.com,productlistdir.com,assisted,https://productlistdir.com/,unknown,paid,mark_paid,high,,,,,,https://productlistdir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,6,15,productwing-com,https://productwing.com/,productwing.com,assisted,https://productwing.com/,unknown,paid,mark_paid,high,,,,,,https://productwing.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,7,16,saasfield-com,https://saasfield.com/,saasfield.com,assisted,https://saasfield.com/,unknown,paid,mark_paid,high,,,,,,https://saasfield.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,8,17,saashubdirectory-com,https://saashubdirectory.com,saashubdirectory.com,assisted,https://saashubdirectory.com/,unknown,paid,mark_paid,high,,,,,,https://saashubdirectory.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,9,18,saasroots-com,https://saasroots.com/,saasroots.com,assisted,https://saasroots.com/,unknown,paid,mark_paid,high,,,,,,https://saasroots.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,10,19,smartkithub-com,https://smartkithub.com,smartkithub.com,assisted,https://smartkithub.com/,unknown,paid,mark_paid,high,,,,,,https://smartkithub.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,11,20,softwarebolt-com,访问官网,softwarebolt.com,assisted,https://softwarebolt.com/,unknown,paid,mark_paid,high,,,,,,https://softwarebolt.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,12,22,sourcedir-com,https://sourcedir.com/,sourcedir.com,assisted,https://sourcedir.com/,unknown,paid,mark_paid,high,,,,,,https://sourcedir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,13,23,stackdirectory-com,https://stackdirectory.com/,stackdirectory.com,assisted,https://stackdirectory.com/,unknown,paid,mark_paid,high,,,,,,https://stackdirectory.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,14,24,startupvessel-com,https://startupvessel.com/,startupvessel.com,assisted,https://startupvessel.com/,unknown,paid,mark_paid,high,,,,,,https://startupvessel.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,15,25,theapptools-com,https://theapptools.com/,theapptools.com,assisted,https://theapptools.com/,unknown,paid,mark_paid,high,,,,,,https://theapptools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,16,29,toolfinddir-com,https://toolfinddir.com,toolfinddir.com,assisted,https://toolfinddir.com/,unknown,paid,mark_paid,high,,,,,,https://toolfinddir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,17,30,toolsignal-com,https://toolsignal.com/,toolsignal.com,assisted,https://toolsignal.com/,unknown,paid,mark_paid,high,,,,,,https://toolsignal.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,18,31,toolslisthq-com,https://toolslisthq.com,toolslisthq.com,assisted,https://toolslisthq.com/,unknown,paid,mark_paid,high,,,,,,https://toolslisthq.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,19,32,toolsunderradar-com,https://toolsunderradar.com,toolsunderradar.com,assisted,https://toolsunderradar.com/,unknown,paid,mark_paid,high,,,,,,https://toolsunderradar.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,20,33,toptrendtools-com,https://toptrendtools.com/,toptrendtools.com,assisted,https://toptrendtools.com/,unknown,paid,mark_paid,high,,,,,,https://toptrendtools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,21,34,toshilist-com,https://toshilist.com,toshilist.com,assisted,https://toshilist.com/,unknown,paid,mark_paid,high,,,,,,https://toshilist.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-paid,22,36,weliketools-com,https://weliketools.com,weliketools.com,assisted,https://weliketools.com/,unknown,paid,mark_paid,high,,,,,,https://weliketools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
