queue_order,target_id,name,domain,mode,submit_url,current_pricing,suggested_pricing,suggested_review_decision,suggestion_confidence,review_decision,reviewed_pricing,reviewer,reviewed_at,review_notes,evidence_url,evidence_matched,http_status,fetch_ok,payment_signal,free_signal,freemium_signal,captcha_signal,cloudflare_signal,suggestion_basis,automation_policy,manual_review_status,manual_review_url,reviewed_pricing_hint,allowed_review_decisions,manual_review_checklist,review_notes_template
1,247webdirectory,247WebDirectory,247webdirectory.com,assisted,https://www.247webdirectory.com/,unknown,unknown,keep_unknown,low,,,,,,https://www.247webdirectory.com/,yes,200,yes,no,no,no,no,no,pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://www.247webdirectory.com/,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://www.247webdirectory.com/. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
2,asr,ASR,activesearchresults.com,assisted,https://www.activesearchresults.com/addwebsite.php,unknown,unknown,keep_unknown,low,,,,,,https://www.activesearchresults.com/addwebsite.php,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://www.activesearchresults.com/addwebsite.php,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://www.activesearchresults.com/addwebsite.php. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
3,ai-ailookme,AI工具箱 (ailookme),ailookme.com,assisted,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,unknown,unknown,keep_unknown,low,,,,,,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
4,ai-nav,AI NAV,ainavpro.com,assisted,https://www.ainavpro.com/contribute,unknown,unknown,keep_unknown,low,,,,,,https://www.ainavpro.com/contribute,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://www.ainavpro.com/contribute,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://www.ainavpro.com/contribute. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
5,appalist-com,https://appalist.com/,appalist.com,assisted,https://appalist.com/,unknown,paid,mark_paid,high,,,,,,https://appalist.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://appalist.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://appalist.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
6,ashlist-com,https://ashlist.com,ashlist.com,assisted,https://ashlist.com/,unknown,freemium,mark_freemium,medium,,,,,,https://ashlist.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://ashlist.com/,freemium,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://ashlist.com/. Suggested decision: mark_freemium (medium confidence). Signals: payment=yes, free=no, freemium=yes, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
7,foundr-ai,Foundr.ai,foundr.ai,assisted,https://foundr.ai/,unknown,unknown,needs_manual_check,low,,,,,,https://foundr.ai/,yes,200,yes,no,no,yes,yes,no,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://foundr.ai/,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; challenge signal was detected; keep manual/unknown unless resolved by human review,"Manual browser review checked https://foundr.ai/. Suggested decision: needs_manual_check (low confidence). Signals: payment=no, free=no, freemium=yes, captcha=yes, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
8,hhlink-com,海外导航网,hhlink.com,assisted,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,unknown,unknown,keep_unknown,low,,,,,,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
9,iforai,iforai,iforai.com,assisted,https://iforai.com/submit_website,unknown,unknown,keep_unknown,low,,,,,,https://iforai.com/submit_website,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://iforai.com/submit_website,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://iforai.com/submit_website. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
10,launchscroll-com,https://launchscroll.com/,launchscroll.com,assisted,https://launchscroll.com/,unknown,paid,mark_paid,high,,,,,,https://launchscroll.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://launchscroll.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://launchscroll.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
11,mylaunchstash-com,https://mylaunchstash.com/,mylaunchstash.com,assisted,https://mylaunchstash.com/,unknown,paid,mark_paid,high,,,,,,https://mylaunchstash.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://mylaunchstash.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://mylaunchstash.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
12,offpagesavvy,Offpagesavvy,offpagesavvy.com,assisted,https://www.offpagesavvy.com/submit-your-site,unknown,freemium,mark_freemium,medium,,,,,,https://www.offpagesavvy.com/submit-your-site,yes,200,yes,no,no,yes,no,no,free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://www.offpagesavvy.com/submit-your-site,freemium,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://www.offpagesavvy.com/submit-your-site. Suggested decision: mark_freemium (medium confidence). Signals: payment=no, free=no, freemium=yes, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
13,poweruptools-com,https://poweruptools.com,poweruptools.com,assisted,https://poweruptools.com/,unknown,paid,mark_paid,high,,,,,,https://poweruptools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://poweruptools.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://poweruptools.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
14,productlistdir-com,https://productlistdir.com,productlistdir.com,assisted,https://productlistdir.com/,unknown,paid,mark_paid,high,,,,,,https://productlistdir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://productlistdir.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://productlistdir.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
15,productwing-com,https://productwing.com/,productwing.com,assisted,https://productwing.com/,unknown,paid,mark_paid,high,,,,,,https://productwing.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://productwing.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://productwing.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
16,saasfield-com,https://saasfield.com/,saasfield.com,assisted,https://saasfield.com/,unknown,paid,mark_paid,high,,,,,,https://saasfield.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://saasfield.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://saasfield.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
17,saashubdirectory-com,https://saashubdirectory.com,saashubdirectory.com,assisted,https://saashubdirectory.com/,unknown,paid,mark_paid,high,,,,,,https://saashubdirectory.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://saashubdirectory.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://saashubdirectory.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
18,saasroots-com,https://saasroots.com/,saasroots.com,assisted,https://saasroots.com/,unknown,paid,mark_paid,high,,,,,,https://saasroots.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://saasroots.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://saasroots.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
19,smartkithub-com,https://smartkithub.com,smartkithub.com,assisted,https://smartkithub.com/,unknown,paid,mark_paid,high,,,,,,https://smartkithub.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://smartkithub.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://smartkithub.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
20,softwarebolt-com,访问官网,softwarebolt.com,assisted,https://softwarebolt.com/,unknown,paid,mark_paid,high,,,,,,https://softwarebolt.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://softwarebolt.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://softwarebolt.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
21,solvertools-com,🔗 访问我们的网站,solvertools.com,assisted,https://solvertools.com/,unknown,freemium,mark_freemium,medium,,,,,,https://solvertools.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://solvertools.com/,freemium,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://solvertools.com/. Suggested decision: mark_freemium (medium confidence). Signals: payment=yes, free=no, freemium=yes, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
