queue_order,target_id,name,domain,mode,submit_url,current_pricing,suggested_pricing,suggested_review_decision,suggestion_confidence,review_decision,reviewed_pricing,reviewer,reviewed_at,review_notes,evidence_url,evidence_matched,http_status,fetch_ok,payment_signal,free_signal,freemium_signal,captcha_signal,cloudflare_signal,suggestion_basis,automation_policy
1,247webdirectory,247WebDirectory,247webdirectory.com,assisted,https://www.247webdirectory.com/,unknown,unknown,keep_unknown,low,,,,,,https://www.247webdirectory.com/,yes,200,yes,no,no,no,no,no,pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
2,asr,ASR,activesearchresults.com,assisted,https://www.activesearchresults.com/addwebsite.php,unknown,unknown,keep_unknown,low,,,,,,https://www.activesearchresults.com/addwebsite.php,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
3,ai-ailookme,AI工具箱 (ailookme),ailookme.com,assisted,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,unknown,unknown,keep_unknown,low,,,,,,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
4,ai-nav,AI NAV,ainavpro.com,assisted,https://www.ainavpro.com/contribute,unknown,unknown,keep_unknown,low,,,,,,https://www.ainavpro.com/contribute,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
5,appalist-com,https://appalist.com/,appalist.com,assisted,https://appalist.com/,unknown,paid,mark_paid,high,,,,,,https://appalist.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
6,ashlist-com,https://ashlist.com,ashlist.com,assisted,https://ashlist.com/,unknown,freemium,mark_freemium,medium,,,,,,https://ashlist.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
7,foundr-ai,Foundr.ai,foundr.ai,assisted,https://foundr.ai/,unknown,unknown,needs_manual_check,low,,,,,,https://foundr.ai/,yes,200,yes,no,no,yes,yes,no,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
8,hhlink-com,海外导航网,hhlink.com,assisted,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,unknown,unknown,keep_unknown,low,,,,,,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
9,iforai,iforai,iforai.com,assisted,https://iforai.com/submit_website,unknown,unknown,keep_unknown,low,,,,,,https://iforai.com/submit_website,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
10,launchscroll-com,https://launchscroll.com/,launchscroll.com,assisted,https://launchscroll.com/,unknown,paid,mark_paid,high,,,,,,https://launchscroll.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
11,mylaunchstash-com,https://mylaunchstash.com/,mylaunchstash.com,assisted,https://mylaunchstash.com/,unknown,paid,mark_paid,high,,,,,,https://mylaunchstash.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
12,offpagesavvy,Offpagesavvy,offpagesavvy.com,assisted,https://www.offpagesavvy.com/submit-your-site,unknown,freemium,mark_freemium,medium,,,,,,https://www.offpagesavvy.com/submit-your-site,yes,200,yes,no,no,yes,no,no,free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
13,poweruptools-com,https://poweruptools.com,poweruptools.com,assisted,https://poweruptools.com/,unknown,paid,mark_paid,high,,,,,,https://poweruptools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
14,productlistdir-com,https://productlistdir.com,productlistdir.com,assisted,https://productlistdir.com/,unknown,paid,mark_paid,high,,,,,,https://productlistdir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
15,productwing-com,https://productwing.com/,productwing.com,assisted,https://productwing.com/,unknown,paid,mark_paid,high,,,,,,https://productwing.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
16,saasfield-com,https://saasfield.com/,saasfield.com,assisted,https://saasfield.com/,unknown,paid,mark_paid,high,,,,,,https://saasfield.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
17,saashubdirectory-com,https://saashubdirectory.com,saashubdirectory.com,assisted,https://saashubdirectory.com/,unknown,paid,mark_paid,high,,,,,,https://saashubdirectory.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
18,saasroots-com,https://saasroots.com/,saasroots.com,assisted,https://saasroots.com/,unknown,paid,mark_paid,high,,,,,,https://saasroots.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
19,smartkithub-com,https://smartkithub.com,smartkithub.com,assisted,https://smartkithub.com/,unknown,paid,mark_paid,high,,,,,,https://smartkithub.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
20,softwarebolt-com,访问官网,softwarebolt.com,assisted,https://softwarebolt.com/,unknown,paid,mark_paid,high,,,,,,https://softwarebolt.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
21,solvertools-com,🔗 访问我们的网站,solvertools.com,assisted,https://solvertools.com/,unknown,freemium,mark_freemium,medium,,,,,,https://solvertools.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
22,sourcedir-com,https://sourcedir.com/,sourcedir.com,assisted,https://sourcedir.com/,unknown,paid,mark_paid,high,,,,,,https://sourcedir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
23,stackdirectory-com,https://stackdirectory.com/,stackdirectory.com,assisted,https://stackdirectory.com/,unknown,paid,mark_paid,high,,,,,,https://stackdirectory.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
24,startupvessel-com,https://startupvessel.com/,startupvessel.com,assisted,https://startupvessel.com/,unknown,paid,mark_paid,high,,,,,,https://startupvessel.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
25,theapptools-com,https://theapptools.com/,theapptools.com,assisted,https://theapptools.com/,unknown,paid,mark_paid,high,,,,,,https://theapptools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
26,thecoretools-com,https://thecoretools.com,thecoretools.com,assisted,https://thecoretools.com/,unknown,freemium,mark_freemium,medium,,,,,,https://thecoretools.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
27,tinytoolhub-com,https://tinytoolhub.com,tinytoolhub.com,assisted,https://tinytoolhub.com/,unknown,freemium,mark_freemium,medium,,,,,,https://tinytoolhub.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
28,toolcosmos-com,https://toolcosmos.com,toolcosmos.com,assisted,https://toolcosmos.com/,unknown,freemium,mark_freemium,medium,,,,,,https://toolcosmos.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
29,toolfinddir-com,https://toolfinddir.com,toolfinddir.com,assisted,https://toolfinddir.com/,unknown,paid,mark_paid,high,,,,,,https://toolfinddir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
30,toolsignal-com,https://toolsignal.com/,toolsignal.com,assisted,https://toolsignal.com/,unknown,paid,mark_paid,high,,,,,,https://toolsignal.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
31,toolslisthq-com,https://toolslisthq.com,toolslisthq.com,assisted,https://toolslisthq.com/,unknown,paid,mark_paid,high,,,,,,https://toolslisthq.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
32,toolsunderradar-com,https://toolsunderradar.com,toolsunderradar.com,assisted,https://toolsunderradar.com/,unknown,paid,mark_paid,high,,,,,,https://toolsunderradar.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
33,toptrendtools-com,https://toptrendtools.com/,toptrendtools.com,assisted,https://toptrendtools.com/,unknown,paid,mark_paid,high,,,,,,https://toptrendtools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
34,toshilist-com,https://toshilist.com,toshilist.com,assisted,https://toshilist.com/,unknown,paid,mark_paid,high,,,,,,https://toshilist.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
35,trustiner-com,https://trustiner.com,trustiner.com,assisted,https://trustiner.com/,unknown,freemium,mark_freemium,medium,,,,,,https://trustiner.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
36,weliketools-com,https://weliketools.com,weliketools.com,assisted,https://weliketools.com/,unknown,paid,mark_paid,high,,,,,,https://weliketools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
37,xinquji-com,新趣集,xinquji.com,assisted,https://xinquji.com/,unknown,unknown,needs_manual_check,low,,,,,,https://xinquji.com/,yes,200,yes,yes,no,no,yes,no,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
38,aitoptools,AITopTools,aitoptools.com,assisted,https://aitoptools.com/login?redirect_to=submit,unknown,unknown,keep_unknown,low,,,,,,https://aitoptools.com/login?redirect_to=submit,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
39,broadwise-org,Broadwise.org,broadwise.org,assisted,https://broadwise.org/t/how-to-promote-your-startup-on-broadwise-org/125,unknown,freemium,mark_freemium,low,,,,,,https://broadwise.org/t/how-to-promote-your-startup-on-broadwise-org/125,yes,200,yes,no,no,yes,no,no,free plus premium/sponsored signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
40,dizkaz-com,笛卡,dizkaz.com,assisted,https://dizkaz.com/,unknown,unknown,keep_unknown,low,,,,,,https://dizkaz.com/,yes,200,yes,no,no,no,no,no,pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
41,gainweb-org,GainWeb.org,gainweb.org,assisted,https://gainweb.org/,unknown,unknown,keep_unknown,low,,,,,,https://gainweb.org/,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
42,openfuture-ai,OpenFuture AI,openfuture.ai,assisted,https://openfuture.ai/zh/submit-tool,unknown,unknown,keep_unknown,low,,,,,,https://openfuture.ai/zh/submit-tool,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
43,www-ruanyifeng-com,https://www.ruanyifeng.com,ruanyifeng.com,assisted,https://www.ruanyifeng.com/,unknown,unknown,keep_unknown,low,,,,,,https://www.ruanyifeng.com/,yes,200,yes,no,no,no,no,no,no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
44,wechalet-cn,小木屋,wechalet.cn,assisted,https://wechalet.cn/appstore/add,unknown,unknown,keep_unknown,low,,,,,,https://wechalet.cn/appstore/add,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
