queue_order,target_id,name,domain,mode,submit_url,current_pricing,suggested_pricing,suggested_review_decision,suggestion_confidence,reviewer_action,suggested_review_notes,suggestion_basis,evidence_matched,http_status,fetch_ok,final_url,final_domain,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,free_signal,freemium_signal,pricing_page_signal,checked_at,automation_policy
1,247webdirectory,247WebDirectory,247webdirectory.com,assisted,https://www.247webdirectory.com/,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found | basis: pricing/plan link or text found; no decisive pricing signal found,pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://www.247webdirectory.com/,247webdirectory.com,no,no,yes,no,no,no,no,no,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
2,asr,ASR,activesearchresults.com,assisted,https://www.activesearchresults.com/addwebsite.php,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://www.activesearchresults.com/addwebsite.php,activesearchresults.com,yes,no,yes,yes,no,no,no,no,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
3,ai-ailookme,AI工具箱 (ailookme),ailookme.com,assisted,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,ailookme.com,yes,no,yes,yes,no,no,no,no,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
4,ai-nav,AI NAV,ainavpro.com,assisted,https://www.ainavpro.com/contribute,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found | basis: submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://www.ainavpro.com/contribute,ainavpro.com,yes,no,yes,no,no,no,no,no,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
5,appalist-com,https://appalist.com/,appalist.com,assisted,https://appalist.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://appalist.com/,appalist.com,yes,yes,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
6,ashlist-com,https://ashlist.com,ashlist.com,assisted,https://ashlist.com/,unknown,freemium,mark_freemium,medium,confirm_free_submission_path_exists_before_any_free_only_plan,evidence: paid/payment signal found; free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://ashlist.com/,ashlist.com,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
7,foundr-ai,Foundr.ai,foundr.ai,assisted,https://foundr.ai/,unknown,unknown,needs_manual_check,low,open_manually_without_bypassing_challenge_then_record_pricing,evidence: free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found; CAPTCHA/Cloudflare signal found | basis: CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://foundr.ai/,foundr.ai,yes,no,yes,yes,no,yes,no,no,no,yes,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
8,hhlink-com,海外导航网,hhlink.com,assisted,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found | basis: submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,hhlink.com,yes,no,yes,no,no,no,no,no,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
9,iforai,iforai,iforai.com,assisted,https://iforai.com/submit_website,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found | basis: submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://iforai.com/submit_website,iforai.com,yes,yes,yes,no,no,no,no,no,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
10,launchscroll-com,https://launchscroll.com/,launchscroll.com,assisted,https://launchscroll.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://launchscroll.com/,launchscroll.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
11,mylaunchstash-com,https://mylaunchstash.com/,mylaunchstash.com,assisted,https://mylaunchstash.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://mylaunchstash.com/,mylaunchstash.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
12,offpagesavvy,Offpagesavvy,offpagesavvy.com,assisted,https://www.offpagesavvy.com/submit-your-site,unknown,freemium,mark_freemium,medium,confirm_free_submission_path_exists_before_any_free_only_plan,evidence: free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found | basis: free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://www.offpagesavvy.com/submit-your-site,offpagesavvy.com,yes,yes,yes,no,no,no,no,no,no,yes,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
13,poweruptools-com,https://poweruptools.com,poweruptools.com,assisted,https://poweruptools.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://poweruptools.com/,poweruptools.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
14,productlistdir-com,https://productlistdir.com,productlistdir.com,assisted,https://productlistdir.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://productlistdir.com/,productlistdir.com,yes,yes,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
15,productwing-com,https://productwing.com/,productwing.com,assisted,https://productwing.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://productwing.com/,productwing.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
16,saasfield-com,https://saasfield.com/,saasfield.com,assisted,https://saasfield.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://saasfield.com/,saasfield.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
17,saashubdirectory-com,https://saashubdirectory.com,saashubdirectory.com,assisted,https://saashubdirectory.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://saashubdirectory.com/,saashubdirectory.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
18,saasroots-com,https://saasroots.com/,saasroots.com,assisted,https://saasroots.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://saasroots.com/,saasroots.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
19,smartkithub-com,https://smartkithub.com,smartkithub.com,assisted,https://smartkithub.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://smartkithub.com/,smartkithub.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
20,softwarebolt-com,访问官网,softwarebolt.com,assisted,https://softwarebolt.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://softwarebolt.com/,softwarebolt.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
21,solvertools-com,🔗 访问我们的网站,solvertools.com,assisted,https://solvertools.com/,unknown,freemium,mark_freemium,medium,confirm_free_submission_path_exists_before_any_free_only_plan,evidence: paid/payment signal found; free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://solvertools.com/,solvertools.com,yes,no,yes,yes,no,no,no,yes,no,yes,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
22,sourcedir-com,https://sourcedir.com/,sourcedir.com,assisted,https://sourcedir.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://sourcedir.com/,sourcedir.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
23,stackdirectory-com,https://stackdirectory.com/,stackdirectory.com,assisted,https://stackdirectory.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://stackdirectory.com/,stackdirectory.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
24,startupvessel-com,https://startupvessel.com/,startupvessel.com,assisted,https://startupvessel.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://startupvessel.com/,startupvessel.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
25,theapptools-com,https://theapptools.com/,theapptools.com,assisted,https://theapptools.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://theapptools.com/,theapptools.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
26,thecoretools-com,https://thecoretools.com,thecoretools.com,assisted,https://thecoretools.com/,unknown,freemium,mark_freemium,medium,confirm_free_submission_path_exists_before_any_free_only_plan,evidence: paid/payment signal found; free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://thecoretools.com/,thecoretools.com,yes,no,yes,yes,no,no,no,yes,no,yes,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
27,tinytoolhub-com,https://tinytoolhub.com,tinytoolhub.com,assisted,https://tinytoolhub.com/,unknown,freemium,mark_freemium,medium,confirm_free_submission_path_exists_before_any_free_only_plan,evidence: paid/payment signal found; free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://tinytoolhub.com/,tinytoolhub.com,yes,no,yes,yes,no,no,no,yes,no,yes,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
28,toolcosmos-com,https://toolcosmos.com,toolcosmos.com,assisted,https://toolcosmos.com/,unknown,freemium,mark_freemium,medium,confirm_free_submission_path_exists_before_any_free_only_plan,evidence: paid/payment signal found; free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://toolcosmos.com/,toolcosmos.com,yes,no,yes,yes,no,no,no,yes,no,yes,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
29,toolfinddir-com,https://toolfinddir.com,toolfinddir.com,assisted,https://toolfinddir.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://toolfinddir.com/,toolfinddir.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
30,toolsignal-com,https://toolsignal.com/,toolsignal.com,assisted,https://toolsignal.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://toolsignal.com/,toolsignal.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
31,toolslisthq-com,https://toolslisthq.com,toolslisthq.com,assisted,https://toolslisthq.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://toolslisthq.com/,toolslisthq.com,yes,yes,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
32,toolsunderradar-com,https://toolsunderradar.com,toolsunderradar.com,assisted,https://toolsunderradar.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://toolsunderradar.com/,toolsunderradar.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
33,toptrendtools-com,https://toptrendtools.com/,toptrendtools.com,assisted,https://toptrendtools.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://toptrendtools.com/,toptrendtools.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
34,toshilist-com,https://toshilist.com,toshilist.com,assisted,https://toshilist.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://toshilist.com/,toshilist.com,yes,yes,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
35,trustiner-com,https://trustiner.com,trustiner.com,assisted,https://trustiner.com/,unknown,freemium,mark_freemium,medium,confirm_free_submission_path_exists_before_any_free_only_plan,evidence: paid/payment signal found; free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://trustiner.com/,trustiner.com,yes,no,yes,yes,no,no,no,yes,no,yes,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
36,weliketools-com,https://weliketools.com,weliketools.com,assisted,https://weliketools.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://weliketools.com/,weliketools.com,yes,no,yes,yes,no,no,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
37,xinquji-com,新趣集,xinquji.com,assisted,https://xinquji.com/,unknown,unknown,needs_manual_check,low,open_manually_without_bypassing_challenge_then_record_pricing,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found; CAPTCHA/Cloudflare signal found | basis: CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://xinquji.com/,xinquji.com,yes,no,yes,yes,no,yes,no,yes,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
38,aitoptools,AITopTools,aitoptools.com,assisted,https://aitoptools.com/login?redirect_to=submit,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found | basis: auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://aitoptools.com/login?redirect_to=submit,aitoptools.com,yes,yes,yes,yes,yes,no,no,no,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
39,broadwise-org,Broadwise.org,broadwise.org,assisted,https://broadwise.org/t/how-to-promote-your-startup-on-broadwise-org/125,unknown,freemium,mark_freemium,low,confirm_free_submission_path_exists_before_any_free_only_plan,evidence: free plus premium/sponsored signal found; pricing/plan link or text found | basis: free plus premium/sponsored signal found; pricing/plan link or text found,free plus premium/sponsored signal found; pricing/plan link or text found,yes,200,yes,https://broadwise.org/t/how-to-promote-your-startup-on-broadwise-org/125,broadwise.org,no,no,yes,no,no,no,no,no,no,yes,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
40,dizkaz-com,笛卡,dizkaz.com,assisted,https://dizkaz.com/,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found | basis: pricing/plan link or text found; no decisive pricing signal found,pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://dizkaz.com/,dizkaz.com,no,no,no,no,no,no,no,no,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
41,gainweb-org,GainWeb.org,gainweb.org,assisted,https://gainweb.org/,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://gainweb.org/,gainweb.org,yes,no,yes,yes,no,no,no,no,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
42,openfuture-ai,OpenFuture AI,openfuture.ai,assisted,https://openfuture.ai/zh/submit-tool,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found | basis: auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://openfuture.ai/zh/submit-tool,openfuture.ai,yes,yes,yes,yes,no,no,no,no,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
43,www-ruanyifeng-com,https://www.ruanyifeng.com,ruanyifeng.com,assisted,https://www.ruanyifeng.com/,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,basis: no decisive pricing signal found,no decisive pricing signal found,yes,200,yes,https://www.ruanyifeng.com/,ruanyifeng.com,no,no,no,no,no,no,no,no,no,no,no,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
44,wechalet-cn,小木屋,wechalet.cn,assisted,https://wechalet.cn/appstore/add,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found | basis: submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://wechalet.cn/appstore/add,wechalet.cn,yes,no,yes,no,no,no,no,no,no,no,yes,2026-05-27T10:29:12.634Z,non_binding_suggestion_no_registry_write_no_submission
