lane_id,lane_type,lane_priority,lane_order,lane_estimated_minutes_per_row,manual_rank,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,manual_bucket,risk_level,recommended_next_step,url,domain,canonical_name,pricing,lang,classification,candidate_import_recommendation,occurrence_count,registry_target_ids,registry_submit_urls,source_files,source_locations,latest_batch_id,evidence_file,suggestion_file,http_status,fetch_ok,final_url,form_count,input_count,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,safety_gate_reason,safety_gate_batch_id,safety_gate_report,checked_at,lane_csv_path,lane_json_path,backlog_output_dir
coverage-review-p0-001,coverage_manual_review_p0,P0,1,5,1,P0,337,75,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,fetch_failed_cannot_decide,high_priority_manual,Confirm this URL is a distinct valid submit URL from existing registry URLs; reject duplicate or invalid paths.,https://aiscout.net/submit,aiscout.net,aiscout.net,unknown,unknown,domain_in_registry_only,review_submit_url,2,ai-scout; ai-scout-aiscout-net-submit-listing-details,https://aiscout.net/; https://aiscout.net/submit-listing/details,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 20:url; directory-submissions-external-links.md:22,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,520,no,https://aiscout.net/submit,0,0,yes,no,no,no,no,no,no,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 520; evidence: URL path looks like a submission endpoint; HTTP 520; same-domain variant must not use generic approved,,,,2026-05-22T10:33:17.965Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,2,5,2,P0,337,79,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,fetch_failed_cannot_decide,high_priority_manual,Confirm this URL is a distinct valid submit URL from existing registry URLs; reject duplicate or invalid paths.,https://aitoolsdirectory.com/submit,aitoolsdirectory.com,aitoolsdirectory.com,unknown,unknown,domain_in_registry_only,review_submit_url,2,aitoolsdirectory,https://aitoolsdirectory.com/submit-tool,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 25:url; directory-submissions-external-links.md:27,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed; same-domain variant must not use generic approved,,,,2026-05-22T10:33:33.897Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,3,5,3,P0,337,208,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,medium_confidence_requires_human_confirmation,high_priority_manual,Confirm this URL is a distinct valid submit URL from existing registry URLs; reject duplicate or invalid paths.,https://devhunt.org/submit,devhunt.org,devhunt.org,unknown,unknown,domain_in_registry_only,review_submit_url,2,dev-hunt; dev-hunt-devhunt-org-account-tools-new,https://devhunt.org/; https://devhunt.org/account/tools/new,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 49:url; directory-submissions-external-links.md:51,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,200,yes,https://devhunt.org/submit,0,0,yes,no,no,no,yes,no,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; URL path looks like a submission endpoint; same-domain variant must not use generic approved,,,,2026-05-22T10:33:44.396Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,4,5,4,P0,287,472,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,medium_confidence_requires_human_confirmation,high_priority_manual,Confirm this URL is a distinct valid submit URL from existing registry URLs; reject duplicate or invalid paths.,https://www.sideprojectors.com/project/new,sideprojectors.com,sideprojectors.com,unknown,unknown,domain_in_registry_only,review_submit_url,2,sideprojectors,https://www.sideprojectors.com/,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 239:url; directory-submissions-external-links.md:241,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,200,yes,https://www.sideprojectors.com/project/new,0,0,no,yes,no,no,yes,yes,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved,,,,2026-05-22T10:33:45.544Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,5,5,5,P0,287,497,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,fetch_failed_cannot_decide,high_priority_manual,Confirm this URL is a distinct valid submit URL from existing registry URLs; reject duplicate or invalid paths.,https://stackshare.io/new-product,stackshare.io,stackshare.io,unknown,unknown,domain_in_registry_only,review_submit_url,2,stackshare,https://stackshare.io/submit,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 115:url; directory-submissions-external-links.md:117,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,429,no,https://stackshare.io/new-product,0,0,no,yes,no,no,no,no,no,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 429; evidence: directory/listing marketplace text signal found; HTTP 429; same-domain variant must not use generic approved,,,,2026-05-22T10:33:47.169Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,6,5,6,P0,187,63,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://ai.xyz/submit,ai.xyz,ai.xyz,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 7:url; directory-submissions-external-links.md:9,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-22T10:33:48.046Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,7,5,7,P0,187,64,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://aiagents.live/submit,aiagents.live,aiagents.live,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 8:url; directory-submissions-external-links.md:10,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-22T10:33:53.868Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,8,5,8,P0,187,65,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,medium_confidence_requires_human_confirmation,high_priority_manual,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://aiagentsbase.com/submit,aiagentsbase.com,aiagentsbase.com,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 9:url; directory-submissions-external-links.md:11,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,200,yes,https://aiagentsbase.com/submit,3,18,yes,yes,no,no,yes,no,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 3 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found",,,,2026-05-22T10:33:55.130Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,9,5,9,P0,187,68,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,manual_submit_form_confirmation_required,high_priority_manual,Open manually and record approve/reject decision with notes; approval must remain non-executable needs_scout until scout evidence exists.,https://aiagentsmarketplace.com/submit,aiagentsmarketplace.com,aiagentsmarketplace.com,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 12:url; directory-submissions-external-links.md:14,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,200,yes,https://aiagentsmarketplace.com/submit,0,0,yes,yes,no,no,no,no,no,review_manually,needs_manual_check,low,,manual_confirm_submit_form_and_blockers,submit URL/button signal found but evidence is incomplete; evidence: URL path looks like a submission endpoint; directory/listing marketplace text signal found,,,,2026-05-22T10:33:56.100Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,10,5,10,P0,187,72,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://aimatchpro.ai/submit,aimatchpro.ai,aimatchpro.ai,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 16:url; directory-submissions-external-links.md:18,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-22T10:33:56.964Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,11,5,11,P0,187,78,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,medium_confidence_requires_human_confirmation,high_priority_manual,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://aitools.love/submit,aitools.love,aitools.love,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 24:url; directory-submissions-external-links.md:26,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,200,yes,https://aitools.love/submit,0,0,yes,yes,no,no,yes,yes,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found,,,,2026-05-22T10:33:57.371Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,12,5,12,P0,187,81,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://www.aitrendytools.com/submit,aitrendytools.com,aitrendytools.com,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 145:url; directory-submissions-external-links.md:147,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-22T10:34:01.756Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,13,5,13,P0,187,115,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://bestofweb.io/submit,bestofweb.io,bestofweb.io,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 36:url; directory-submissions-external-links.md:38,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-22T10:34:03.242Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,14,5,14,P0,187,274,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,manual_submit_form_confirmation_required,high_priority_manual,Open manually and record approve/reject decision with notes; approval must remain non-executable needs_scout until scout evidence exists.,https://getbyte.co/submit,getbyte.co,getbyte.co,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 64:url; directory-submissions-external-links.md:66,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,200,yes,https://getbyte.co/submit,0,0,yes,no,no,no,no,no,no,review_manually,needs_manual_check,low,,manual_confirm_submit_form_and_blockers,submit URL/button signal found but evidence is incomplete; evidence: URL path looks like a submission endpoint,,,,2026-05-22T10:34:03.814Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,15,5,15,P0,187,332,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://launchvault.com/submit,launchvault.com,launchvault.com,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 83:url; directory-submissions-external-links.md:85,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-22T10:34:04.747Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,16,5,16,P0,187,392,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,medium_confidence_requires_human_confirmation,high_priority_manual,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://www.nocodedevs.com/submit,nocodedevs.com,nocodedevs.com,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 218:url; directory-submissions-external-links.md:220,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,200,yes,https://www.makerthrive.com/,0,0,no,yes,no,no,yes,yes,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found; final domain changed to makerthrive.com,,,,2026-05-22T10:34:05.516Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
coverage-review-p0-001,coverage_manual_review_p0,P0,17,5,17,P0,187,395,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,medium_confidence_requires_human_confirmation,high_priority_manual,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://nocodelist.co/submit,nocodelist.co,nocodelist.co,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 93:url; directory-submissions-external-links.md:95,p0-recheck-002,p0-recheck-002-evidence.csv,p0-recheck-002-suggestions.csv,200,yes,https://nocodelist.co/submit,0,0,yes,no,no,no,yes,no,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; URL path looks like a submission endpoint,,,,2026-05-22T10:34:09.231Z,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.csv,backlink-url/backlog-lanes/lanes/coverage-review-p0-001.json,backlink-url/backlog-lanes
