batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
p2-006,25,116,P2,verify_directory_fit_before_any_approval,https://betabound.com/,betabound.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 2 form(s), 22 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:116,200,yes,https://betabound.com/,betabound.com,2,22,yes,no,yes,yes,no,yes,no,no,no,,2026-05-28T04:45:54.400Z,,,,,,,,,,,,,,,0,,
p2-006,26,122,P2,verify_directory_fit_before_any_approval,https://www.bibsonomy.org/,bibsonomy.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:122,200,yes,https://www.bibsonomy.org/pow-challenge/?return=%2F,bibsonomy.org,0,0,no,no,no,no,no,no,no,no,no,,2026-05-28T04:45:57.920Z,,,,,,,,,,,,,,,0,,
p2-006,27,124,P2,verify_directory_fit_before_any_approval,https://bitbucket.org/,bitbucket.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; 2 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:124,200,yes,https://bitbucket.org/,bitbucket.org,2,5,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T04:46:00.734Z,,,,,,,,,,,,,,,0,,
p2-006,28,125,P2,verify_directory_fit_before_any_approval,https://www.bizcommunity.com/,bizcommunity.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:125,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:46:01.988Z,,,,,,,,,,,,,,,0,,
p2-006,29,126,P2,verify_directory_fit_before_any_approval,https://www.bizsugar.com/,bizsugar.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 3 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:126,200,yes,https://bizsugar.com/,bizsugar.com,3,3,yes,no,yes,no,no,yes,no,yes,no,,2026-05-28T04:46:12.684Z,,,,,,,,,,,,,,,0,,
p2-006,30,127,P2,verify_directory_fit_before_any_approval,https://www.blackhatworld.com/,blackhatworld.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:127,403,no,https://www.blackhatworld.com/,blackhatworld.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:46:18.891Z,,,,,,,,,,,,,,,0,,
p2-006,31,142,P2,verify_directory_fit_before_any_approval,https://www.blogarama.com/,blogarama.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:142,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:46:21.220Z,,,,,,,,,,,,,,,0,,
p2-006,32,143,P2,verify_directory_fit_before_any_approval,https://www.blogengage.com/,blogengage.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:143,403,no,https://www.blogengage.com/,blogengage.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:46:31.853Z,,,,,,,,,,,,,,,0,,
p2-006,33,146,P2,verify_directory_fit_before_any_approval,https://www.blogger.com/,blogger.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:146,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:46:33.594Z,,,,,,,,,,,,,,,0,,
p2-006,34,162,P2,verify_directory_fit_before_any_approval,https://www.brownbook.net/,brownbook.net,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:162,403,no,https://www.brownbook.net/,brownbook.net,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:46:44.269Z,,,,,,,,,,,,,,,0,,
p2-006,35,165,P2,verify_directory_fit_before_any_approval,https://buildvoyage.com/,buildvoyage.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:165,200,yes,https://buildvoyage.com/,buildvoyage.com,0,0,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T04:46:45.989Z,,,,,,,,,,,,,,,0,,
p2-006,36,166,P2,verify_directory_fit_before_any_approval,https://www.buildzoom.com/,buildzoom.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:166,403,no,https://www.buildzoom.com/,buildzoom.com,0,0,no,no,no,no,no,no,yes,no,no,HTTP 403,2026-05-28T04:46:48.847Z,,,,,,,,,,,,,,,0,,
p2-006,37,168,P2,verify_directory_fit_before_any_approval,https://business.foursquare.com/,business.foursquare.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:168,200,yes,https://business.foursquare.com/,business.foursquare.com,0,0,no,no,no,no,no,no,no,no,no,,2026-05-28T04:46:51.542Z,,,,,,,,,,,,,,,0,,
p2-006,38,169,P2,verify_directory_fit_before_any_approval,https://businesshunt.co/,businesshunt.co,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:169,200,yes,https://businesshunt.co/,businesshunt.co,0,0,no,no,no,no,no,yes,no,no,no,,2026-05-28T04:46:52.888Z,,,,,,,,,,,,,,,0,,
p2-006,39,170,P2,verify_directory_fit_before_any_approval,https://www.buymeacoffee.com/,buymeacoffee.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:170,200,yes,https://buymeacoffee.com/,buymeacoffee.com,0,0,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T04:46:58.087Z,,,,,,,,,,,,,,,0,,
p2-006,40,172,P2,verify_directory_fit_before_any_approval,https://www.cabinetm.com/,cabinetm.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; final domain changed to cabinetmsd.my.canva.site,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:172,200,yes,https://cabinetmsd.my.canva.site/,cabinetmsd.my.canva.site,0,0,no,no,no,no,no,yes,no,no,no,,2026-05-28T04:47:01.149Z,,,,,,,,,,,,,,,0,,
p2-006,41,173,P2,verify_directory_fit_before_any_approval,https://www.calameo.com/,calameo.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:173,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:47:08.457Z,,,,,,,,,,,,,,,0,,
p2-006,42,182,P2,verify_directory_fit_before_any_approval,https://www.chamberofcommerce.com/,chamberofcommerce.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 8 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:182,200,yes,https://www.chamberofcommerce.com/,chamberofcommerce.com,3,8,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T04:47:18.695Z,,,,,,,,,,,,,,,0,,
p2-006,43,188,P2,verify_directory_fit_before_any_approval,https://citysquares.com/,citysquares.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:188,200,yes,https://citysquares.com/,citysquares.com,1,3,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T04:47:21.929Z,,,,,,,,,,,,,,,0,,
p2-006,44,191,P2,verify_directory_fit_before_any_approval,https://codepen.io/,codepen.io,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:191,403,no,https://codepen.io/,codepen.io,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:47:24.137Z,,,,,,,,,,,,,,,0,,
p2-006,45,192,P2,verify_directory_fit_before_any_approval,https://www.codeproject.com/,codeproject.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:192,200,yes,https://www.codeproject.com/,codeproject.com,0,0,no,no,no,no,no,no,no,no,no,,2026-05-28T04:47:24.964Z,,,,,,,,,,,,,,,0,,
p2-006,46,193,P2,verify_directory_fit_before_any_approval,https://coldemailkit.com/,coldemailkit.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:193,200,yes,https://coldemailkit.com/,coldemailkit.com,2,7,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T04:47:25.983Z,,,,,,,,,,,,,,,0,,
p2-006,47,199,P2,verify_directory_fit_before_any_approval,https://crevado.com/,crevado.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: login/register signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:199,200,yes,https://crevado.com/,crevado.com,0,0,no,no,yes,yes,no,no,no,no,no,,2026-05-28T04:47:28.067Z,,,,,,,,,,,,,,,0,,
p2-006,48,201,P2,verify_directory_fit_before_any_approval,https://www.curated.design/,curated.design,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; final domain changed to craftwork.design,,login/register or OAuth signal found,yes,review_row:201,200,yes,https://craftwork.design/curated/websites/,craftwork.design,0,0,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T04:47:29.631Z,,,,,,,,,,,,,,,0,,
p2-006,49,202,P2,verify_directory_fit_before_any_approval,https://www.cuspera.com/,cuspera.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:202,200,yes,https://www.cuspera.com/,cuspera.com,0,2,yes,no,yes,no,no,yes,yes,no,no,,2026-05-28T04:47:36.992Z,,,,,,,,,,,,,,,0,,
p2-006,50,205,P2,verify_directory_fit_before_any_approval,https://www.cylex.us.com/,cylex.us.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:205,403,no,https://www.cylex.us.com/,cylex.us.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:47:38.351Z,,,,,,,,,,,,,,,0,,
